"","Swap.3M.5Y.spread","dUSDHUF","OIS.3M.spread","FED.funds.rate","TED.spread","ON.deposit.rate","US.AAA.10Y.spread","HUF.3Y.overquote","HUF.5Y.overquote","HUF.3Y.HUF.5Y.overquote","Assets.lt.f.debt","Swap.tender.DUMMY","FX.tender.DUMMY","Swap.3M.spread.EURHUF","Swap.3M.spread.HUFEUR","Swap.3M.spread","HUN.5Y.USD.CDS","EMBI","FX.tender"
"11/17/2011",-0.452448805951323,-1.27360313432843,-0.929845755892114,-0.70588332868308,0.948931624649843,-0.79278595724295,-0.438702623453561,1.46169432988885,0,1.33709706431532,-0.717019590358485,-0.0287713451975453,-0.0500002096927449,-0.0659319204584445,-0.0544665864892274,-0.0516105684801421,0,1.14566566766024,-0.223123771130086
"11/17/2014",-0.386927201908805,1.12242751719603,-0.895330289469895,-0.873525242257534,-0.825154042069365,-0.905012916592758,-0.644972004421029,0,0,0,0.286068558177451,-0.246010588672098,5.66082297229423,-0.0972875274454775,-0.0544665864892274,-0.110617315218978,0,0.0646392903519805,0.740325325819492
"11/17/2015",-0.165337751631375,0.215501671929219,-1.2761069584717,-0.896707780444766,-0.929977088175495,-0.897936308203742,-0.277154091087826,0,0,0,-0.428161657975754,-0.387951873870852,-0.0500002096927449,-0.0972875274454775,-0.0544665864892274,-0.110617315218978,0,-0.18808353774318,-3.71312137618792e-34
"11/17/2016",1.6809789876427,0.776851360349104,0.368789796690011,-0.0239580665784651,-0.16290300641856,-0.58141298924166,0.357715337456447,0,0,0,0.97076962780644,-0.0346046610500234,-0.0500002096927449,-0.0972875274454775,-0.0544665864892274,-0.110617315218978,0,-0.753462623058098,-0.0733435855848042
"11/17/2017",-0.131438240588717,-0.316982438538707,1.02268940231632,1.08952401255688,-0.939515320163159,1.24813691848228,1.00629246797071,0,0,0,0.924574829610031,-0.00284057257923645,-0.0500002096927449,-0.0972875274454775,0.038277686461968,-0.0813363689088463,0,0.00933865273814422,-0.14378685110233
"11/18/2008",-0.00391648485340168,0.485175310970474,0.235830209366384,-0.542220285466146,0.693118631977337,0.158936485557326,-0.669408582910218,0,0,0,-1.00936896710413,0.656630549025456,-0.0500002096927449,-0.0972875274454775,-0.0544665864892274,-0.110617315218978,0,2.95404359835156,0.154331091044822
"11/18/2009",0.0770259919301241,-0.191681963257765,-1.16997148211676,-1.05628444036601,0.00997871444409741,-0.576229292163189,-0.675436141696656,0,0,0,0.43105831456219,3.20712696710983,-0.0500002096927449,4.0704553492034,-0.0544665864892274,4.01111187992629,0,-0.848902016655369,3.20305847320272
"11/18/2010",-0.432057185143628,-1.35240840284193,-1.36512120813569,-0.532327397233759,-0.896346739922512,-0.7164366845626,-0.429436953246164,2.13316834478962,0.533704497273165,2.12221523089035,-0.539991147908693,-0.162764730597285,-0.0500002096927449,-0.0972875274454774,-0.0544665864892274,-0.110617315218978,0,-0.181603801320455,-0.226825964668322
"11/18/2011",-0.261395941749738,-1.15028411045937,-1.25451350423263,-0.830755869259736,-0.289982314073443,-1.04408072583226,-0.0898166557676439,0,0,0,-0.737187913217569,-0.00289984843830526,-0.0500002096927449,0.0569611331581104,-0.0544665864892274,0.0630445390395659,0,-0.390864488890706,-0.143938595234676
"11/18/2013",0.307738478938341,-0.695329699476697,-1.01334115475496,-0.827831804512934,-0.964863041893159,-1.3314397860897,-0.528820522969315,0,0,0,-0.211406594435258,-0.206856538435839,-0.0500002096927449,-0.0972875274454775,-0.0544665864892274,-0.110617315218978,0,-0.172770973239787,-2.15290080753857e-25
"11/18/2014",-1.03466462301693,-1.46523519003837,-1.05624823234714,-0.74953374865221,-0.853855994420585,-0.691628873817334,-0.634691982197486,0,0,0,0.233249243248931,-0.249544312001628,-3.03108012281761,-0.0972875274454775,-0.0544665864892274,-0.110617315218978,0,0.0761072429913618,-2.73768381143319
"11/18/2015",-0.615260031298876,-0.497275292695311,0.267206677405737,-0.83283943849974,-0.695465307326816,-0.615548447997483,-0.194125212108058,0,0,0,-0.391812332453286,-0.38795479310291,-0.0500002096927449,-0.0972875274454775,-0.0544665864892274,-0.110617315218978,0,-0.493030113777562,-3.02407719471124e-35
"11/18/2016",0.139206749620583,0.275344710850273,-0.848317330992949,-0.788276376872571,-1.12566124448518,0.34819119358501,0.607754354111714,0,0,0,0.833987120309219,-0.00348485252540204,-0.0500002096927449,-0.0972875274454775,-0.0544665864892274,-0.110617315218978,0,0.76708820372179,-0.157901184822339
"11/19/2008",-0.246661705965094,0.590479710507537,-0.46348858820646,-0.528173743132405,0.377767167900835,-0.773771133561416,-0.738221929694414,0,0,0,-0.969888981608705,-1.1823901069922,-0.0500002096927449,-0.0972875274454775,-0.0544665864892274,-0.110617315218978,0,1.46414530282104,-1.83257572566323
"11/19/2009",-0.208699603312975,0.915108901229593,-0.903902062865612,-0.543275480999684,-1.46146523348824,-0.673429396456257,-0.67172693851216,0,-1.49859431574482,-1.67044253310534,0.492763740515988,-0.0272899225962573,-0.0500002096927449,-0.0783983464616659,-0.0544665864892274,-0.0750705908683145,0,0.874122826367088,-0.0573398713740464
"11/19/2010",0.548527348046923,-0.44762919302398,-0.88971787708654,-0.725195849264548,-0.949245464133913,-0.988276531334275,-0.436080817577219,0,0,0,-0.512294439515376,-0.166012957129271,-0.0500002096927449,-0.0972875274454775,-0.0544665864892274,-0.110617315218978,0,0.293503797488133,-0.0184983793409831
"11/19/2012",-0.792711537525944,-2.29124420340944,-1.28568129297028,-0.7763587279075,-0.928871478046513,-0.70013604160207,0.387827708177795,0,0,0,-0.132329396361617,-0.387604477754188,-0.0500002096927449,-0.0972875274454775,-0.0544665864892274,-0.110617315218978,0,-0.649457929212176,-1.89149521285403e-188
"11/19/2013",0.196372738331453,-0.439319845803343,-0.891952102919034,-0.806223126148186,-1.22919452579691,-0.694329653901678,-0.445336586777891,0,0,0,0.122579451180518,-0.21042826646163,-0.0500002096927449,-0.0972875274454775,-0.0544665864892274,-0.110617315218978,0,0.305365110820289,-1.75372301487794e-26
"11/19/2014",-0.596762013467315,-0.578832010063992,-0.755852182905156,-1.09259119000477,-0.393683558178503,-1.1446907577775,-0.632709884590576,0,0,0,0.673689409042144,-0.253057596652256,-0.00235698335035552,-0.0972875274454775,-0.0544665864892274,-0.110617315218978,0,-0.757142527237756,-0.32920036297541
"11/19/2015",-0.259678754393199,-0.970637220710367,-1.34563754579173,-0.759399655182419,1.02408637343017,-0.688729615539503,-0.226077306506918,0,0,0,-0.41869011690916,-0.387957575122525,-0.0500002096927449,-0.0972875274454775,-0.0544665864892274,-0.110617315218978,0,-0.215291690676926,-2.46237051488073e-36
"11/19/2018",0.16963724332149,-0.709759470441958,1.13409497219816,1.03057561874193,-1.06385835326358,1.04138493672368,1.26138361838752,0,0,0,0.576366181831729,-0.241087020908565,-0.0500002096927449,-0.0972875274454775,-0.0544665864892274,-0.110617315218978,0,0.431692183567298,-0.488060304437538
"11/2/2009",0.433272912070166,0.938788720557641,-0.527107574438062,-0.817300877135734,-0.631506803632932,-1.4630962989668,-0.677819663309732,0,0,0,0.2472212026961,-0.13705394504154,-0.0500002096927449,-0.0972875274454774,-0.0544665864892274,-0.110617315218978,0,-0.0783621422123899,-0.00122557320606106
"11/2/2010",-0.960520724617371,-0.83061198970744,-0.830082126005782,-0.885811678717535,-1.2573985385835,-0.862956304935653,-0.363190964191441,0,0,0,-0.593539660394561,-0.198521596327269,-0.0500002096927449,-0.0585798144720185,-0.0544665864892274,-0.0679082592080752,0,0.211950233057807,-0.391606242057251
