"","Swap.3M.5Y.spread","dUSDHUF","dEURHUF","OIS.3M.spread","EUR.3M.REPO","Eurozone.AAA","Volume.AAA.bond","HUF.3Y.overquote","HUF.5Y.overquote","HUF.3Y.HUF.5Y.overquote","Assets.lt.f.debt","ECB.DEPOSIT","TED.spread","Deviza.tender.DUMMY","Swap.3M.spread.EURHUF","Swap.3M.spread.HUFEUR","Swap.3M.spread","EMBI","HUN.5Y.USD.CDS","Swap.tender","FX.tender"
"6/26/2012",0.611972895047412,-0.586141645311168,-1.0598662722263,-0.365698919910771,-0.352682063154153,-0.845230601126998,-0.181500877698218,0,0,0,0.117055939925069,-0.116995114426626,-1.28240752254294,-0.0475368984398583,-0.0971681749240416,-0.0546645353148123,-0.110407540461576,-0.476372773619392,0,-9.35312109941749e-69,-2.90492772587541e-73
"6/26/2013",-2.28519576504139,0.281868025308789,-0.240206161222127,0.14785816020496,-1.16128323936168,0.618005584566159,-0.155193097987021,0,0,0,0.14421813071434,-0.116995114426626,-0.507117062401252,-0.0475368984398583,-0.0971681749240416,-0.0546645353148123,-0.110407540461576,-0.843876030254299,0,-3.00673469719779e-05,-1.47442327975422e-05
"6/26/2014",1.3871742468468,1.25655078701018,1.44980001798137,-1.3445170431773,-0.196506656969023,3.51152983497553,-0.121666913769341,0,1.90587012979354,2.06931750886316,0.894470178596152,-0.116995114426626,-0.934848371611843,-0.0475368984398583,-0.0971681749240416,-0.0546645353148123,-0.110407540461576,0.256897424750197,0,-6.58692750925041e-40,-1.56955773122985e-42
"6/26/2015",-0.0622201628961883,0.352771637337148,-0.162413318977754,-0.980882546676656,-1.45672358506905,-1.16217182604162,-0.24292485835082,0,0,0,-0.245680633622922,-0.116995114426626,-0.939738228619198,-0.0475368984398583,-0.0971681749240416,-0.0546645353148123,-0.110407540461576,-0.371587349855289,0,-1.29757473960378e-113,-0.000155399078447506
"6/26/2017",-0.118743955281691,-0.0188889845230221,-0.396780483482625,-0.936862452281603,-0.785818611756372,0.171747120543684,-0.136171315526664,0,0,0,0.0425745592863868,-0.116995114426626,-1.93046724679831,-0.0475368984398583,-0.0971681749240416,-0.0546645353148123,-0.110407540461576,-0.306053840158351,0,-0.00273533572721314,-0.00168315567740869
"6/26/2018",0.960617202956772,0.810444881442671,0.384701738491656,-0.880271157451371,-0.782598048346659,-0.708066514719507,-0.0689690305466688,0,0,0,1.04555915392618,-0.116995114426626,-0.509547270106614,-0.0475368984398583,-0.0971681749240416,-0.611920760777972,-0.0777176739827216,0.210976641716774,0,-0.494178175189276,-0.452741052196621
"6/27/2008",0.681626346376994,-0.727485756019613,-0.585255205115536,1.30645347249122,0.985361027248904,-0.944906429697908,-0.135081275970792,0,0,0,-1.11815553279797,-0.116995114426626,0.0935224957315607,-0.0475368984398583,-0.0971681749240416,-0.0546645353148123,-0.110407540461576,0.528283548665914,0,0,0
"6/27/2011",-0.577618989452348,-0.962855004039233,-0.670065870625635,-0.364358094820509,-0.17275389211422,-0.924784887016627,-0.148083226667246,0,0,0,-0.793857885619262,-0.116995114426626,-1.35914477728889,-0.0475368984398583,-0.139378247205146,-0.0546645353148123,-0.129672346312063,-1.43545864321374,0,-0.309636454309593,-0.306360382145888
"6/27/2012",0.868952949647446,0.443241436724233,0.279393467740079,-0.724359791036225,-1.01544643462233,-0.635486835328877,-0.323355162692751,0,0,0,0.280395017512714,-0.116995114426626,0.208787179059502,-0.0475368984398583,-0.0971681749240416,-0.0546645353148123,-0.110407540461576,-0.191152297263782,0,-9.45092217524387e-70,-2.53104437534616e-74
"6/27/2013",0.581469744169061,-0.307692463392854,-0.107474535193394,-1.37724480645961,-0.851121267403288,0.650959469594168,-0.144035078775141,0,3.18501561807717,3.34411140949261,0.273800395447781,-0.116995114426626,-0.593794113512808,-0.0475368984398583,-0.0971681749240416,-0.0546645353148123,-0.110407540461576,-0.555066977484047,0,-3.08992098615697e-06,-1.3003685039477e-06
