"","TED.spread","HUF.3Y.overquote","HUF.5Y.overquote","HUF.3Y.HUF.5Y.overquote","Swap.3M.spread","Swap.3M.5Y.spread","CHFHUF","CHF.ON","HUF.ON","CHFHUF.3M","HUN.5Y.USD.CDS","CHF.3M.Libor","CHF.ON.Libor","EMBI","FX.tender","CHF.OIS.3M","Swap.tender"
"11/17/2017",-0.260942455939412,0.0845093656339255,-0.0398138081131104,0.170169621132349,-0.113291852670401,0.689454305253053,-0.259965435594468,-0.420919888809626,0.176631955206856,-0.174924187510339,0,-0.130737494285925,0.827413060030927,0.282863967729244,-0.41609863877328,5.07379110055843e-06,-0.447960378572792
"11/18/2008",NA,0,0,0,NA,NA,-0.0320794796203235,-0.140865471286,-0.258190689311379,NA,NA,NA,NA,NA,NA,NA,NA
"11/18/2009",NA,0,0,0,NA,NA,-0.741306371462519,-0.327111979002401,0.516003971240405,NA,NA,NA,NA,NA,NA,NA,NA
"11/18/2010",NA,0,0,0,NA,NA,0.0913752047765406,-0.621554902061759,0.563203560212398,NA,NA,NA,NA,NA,NA,NA,NA
"11/18/2011",0.781851384801264,-0.811115313948602,-0.315738010554885,-1.15085953509278,-0.145882869283612,-1.56778019382949,-1.0125116362251,-0.0852046424778945,0.269859513645763,0.380082434183028,0,-0.184860772785208,-0.00200848097099849,-1.55781655128408,-0.41609863877328,-0.111040263467713,-0.447960378572792
"11/18/2013",-0.449904732649038,-0.489093374253531,-0.696172622652666,-0.544254436619396,-0.106081087433361,-0.665307537495942,0.0502252736214907,-0.0626436369361258,0.771465609741407,0.346590693189859,0,0.284275759575966,-0.698636440904696,-0.392022828571601,-2.08087910883028e-72,-0.0342356281839022,-1.36185602285355e-72
"11/18/2014",-0.772153964477122,-0.0973067641720733,-0.403264885945666,-0.428516188710451,-0.106081087433361,0.218075316843348,0.253934202687893,-0.032978244396955,-0.112244375586712,-0.524240905259038,0,0.338152459036801,-0.873492594215823,0.780933148534462,-0.556903705128154,-0.0379817150270384,-2.8523673402335e-36
"11/18/2015",-0.682095517541916,0.0610179651518379,-0.262660926712705,-0.119337626092322,-0.106081087433361,0.354243448974969,0.0617320754939965,-0.0644790622429639,0.060641943125147,0.515202674378257,0,0.217565657813232,0.151511533346398,0.31277844022792,4.21604099947337e-73,0.213731675957754,-1.65464728096485e-72
"11/18/2016",0.706430249648472,0.749807161595024,1.01503095880222,1.09538054268299,-0.106081087433361,0.123965528324381,0.393862226668056,-0.277041539678237,-0.28418118068698,0.335875928960064,0,2.92015902073399,0.245980856624655,0.305714011975894,-0.416098638773281,-0.0109604174207526,-0.447960378572791
"11/19/2008",NA,0,0,0,NA,NA,0.500885860283756,2.73042345878441,0.315862570438697,NA,NA,NA,NA,NA,NA,NA,NA
"11/19/2009",NA,0,0,0,NA,NA,-0.123551828268592,-0.291361856995273,0.0570747190029964,NA,NA,NA,NA,NA,NA,NA,NA
"11/19/2010",NA,0,0,0,NA,NA,-0.775516123097612,0.0641336843698229,1.10049191454146,NA,NA,NA,NA,NA,NA,NA,NA
"11/19/2012",-1.24771206829451,-0.396904508129403,-0.539015737092016,-0.623066815321227,-0.106081087433361,-0.755834681433282,0.289579023045465,0.0709106374237398,-0.332248063414956,-0.418294013288858,0,-0.550501641666241,0.71694793969175,1.29261616624024,-8.46470271056933e-56,-0.0414113021396919,3.72830118308047e-55
